product_type,industry,primary,secondary,accent,background,text
Fintech,Finance,#1A73E8,#0D47A1,#00E676,#FAFAFA,#212121
Crypto,Finance,#6366F1,#4F46E5,#10B981,#0F172A,#F8FAFC
Healthcare,Health,#00A3A0,#007A7A,#FF6B6B,#F0F9FA,#1A1A1A
E-commerce,Retail,#FF6B35,#E85D2A,#4ECDC4,#FFFFFF,#1A1A1A
SaaS Dashboard,Tech,#2563EB,#1D4ED8,#10B981,#F8FAFC,#0F172A
Food Delivery,Food,#FF5722,#F4511E,#4CAF50,#FFFBF7,#212121
Real Estate,Property,#1E40AF,#1E3A8A,#F59E0B,#FEFEFE,#1F2937
Education,EdTech,#7C3AED,#6D28D9,#34D399,#FAFAFF,#111827
Fitness,Health,#EF4444,#DC2626,#10B981,#FAFAFA,#1F2937
Beauty Spa,Wellness,#EC4899,#DB2777,#14B8A6,#FDF2F8,#1F2937
Legal,Professional,#1E293B,#0F172A,#F59E0B,#F8FAFC,#1E293B
Travel,Tourism,#0EA5E9,#0284C7,#FBBF24,#F0F9FF,#0C4A6E
Music,Entertainment,#8B5CF6,#7C3AED,#EC4899,#0F0A1F,#F3E8FF
Photography,Creative,#F43F5E,#E11D48,#22D3EE,#FAFAFA,#18181B
Gaming,Entertainment,#7C3AED,#6D28D9,#10B981,#0A0A0F,#E4E4E7
